City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
551,Caucaia,BR,87.01,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
552,Acarau,BR,83.73,moderate rain,-2.8856,-40.12,castelo pizzaria
556,Jaisalmer,IN,86.79,clear sky,26.9147,70.9181,Hotel Fifu
559,Trinidad,BO,78.8,heavy intensity rain,-14.8333,-64.9,Hotel Piesta
566,Bull Savanna,JM,83.34,clear sky,17.8868,-77.5902,Big Red's
567,Samarai,PG,81.93,overcast clouds,-10.6167,150.6667,Nuli Sapi
574,Kavaratti,IN,84.38,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
576,Vaitape,PF,79.99,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
580,Santa Ines,BR,86.61,overcast clouds,-3.6667,-45.38,HOTEL TOP
583,Takoradi,GH,83.62,overcast clouds,4.8845,-1.7554,Raybow International Hotel
590,Lazaro Cardenas,MX,85.68,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
591,Labuhan,ID,77.77,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
597,Birao,CF,87.31,broken clouds,10.2849,22.7882,
605,Gazli,UZ,76.28,broken clouds,40.1333,63.45,
606,Mareeba,AU,75.2,light rain,-17.0,145.4333,Trinity Plains Tourist Park
608,Esna,EG,87.01,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
611,Rawah,IQ,83.71,broken clouds,34.4816,41.9093,
612,Mandera,KE,82.09,light rain,3.9366,41.867,Kornesh Hotel and Lodging
615,Narwar,IN,81.77,overcast clouds,25.65,77.9,हनुमान मन्दिर
616,Ranong,TH,79.38,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
619,Weligama,LK,78.64,overcast clouds,5.9667,80.4167,Weligama Bay Resort
623,Mabaruma,GY,82.24,broken clouds,8.2,-59.7833,Monty Brooms Guest House
625,Oliveira Dos Brejinhos,BR,85.66,scattered clouds,-12.3169,-42.8961,Hotel Paraiso
626,Isangel,VU,77.25,light rain,-19.55,169.2667,Tanna Lodge
627,Isabela,PH,80.2,broken clouds,6.7085,121.9711,Isawad Resort
640,Yaan,NG,82.53,overcast clouds,7.3833,8.5667,
642,Pangai,TO,79.95,light rain,-19.8,-174.35,Ha'apai Beach Resort
646,Andrelandia,BR,75.65,clear sky,-21.7397,-44.3092,Mônica Hotel
647,Awbari,LY,87.75,clear sky,26.5921,12.7805,فندق أوباري
654,Acoyapa,NI,80.6,few clouds,11.9703,-85.1711,Hotel Los Robles
655,Padampur,IN,80.28,clear sky,29.6833,73.6167,Pensia Sadan
657,Port Blair,IN,81.93,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
660,Doha,QA,86.0,clear sky,25.2867,51.5333,Movenpick Hotel Doha
661,Baripada,IN,86.07,few clouds,21.935,86.7214,Aparna Hotel
668,Manado,ID,75.2,few clouds,1.487,124.8455,Aryaduta Hotel
671,Vila Velha,BR,82.4,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
672,Mumford,GH,83.14,overcast clouds,5.2618,-0.759,Spanish Villa
675,Kloulklubed,PW,82.4,broken clouds,7.0419,134.2556,Storyboard Beach Resort
676,Kingston,JM,86.0,scattered clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
678,Issia,CI,86.83,overcast clouds,6.4922,-6.5856,Résidence Hôtel Ange Anaé
682,Houma,US,84.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
684,Mirabad,AF,79.93,clear sky,30.4362,61.8383,
687,Sao Jose De Ribamar,BR,78.8,light rain,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
694,Safidon,IN,76.8,clear sky,29.4167,76.6667,OYO 69884 Shri Balaji Guest House
696,Guhagar,IN,79.07,clear sky,17.4842,73.1929,Hotel Seawinds
699,Payo,ID,75.11,overcast clouds,-3.7508,103.6372,Mess keban agung
702,Buraydah,SA,89.6,few clouds,26.326,43.975,فندق راحة السلام
703,Zhuhai,CN,77.0,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
