City_ID,City,Country,Date,Lat,Lon,Max Temp,HUmidity,Cloudiness,Wind Speed
113,Hay River,CA,2021-04-21 15:02:53,60.8156,-115.7999,32.0,80,100,12.66
114,Chokurdakh,RU,2021-04-21 15:02:53,70.6333,147.9167,18.19,95,100,10.13
115,Butaritari,KI,2021-04-21 15:02:54,3.0707,172.7902,82.6,74,94,19.08
116,Lompoc,US,2021-04-21 15:00:55,34.6391,-120.4579,50.0,93,100,8.05
117,Alto Araguaia,BR,2021-04-21 15:02:54,-17.3147,-53.2153,80.08,42,0,7.02
118,Matagami,CA,2021-04-21 15:02:34,49.7502,-77.6328,15.8,86,90,9.22
119,Petropavlovsk-Kamchatskiy,RU,2021-04-21 15:00:22,53.0452,158.6483,37.4,81,75,6.71
120,Longyearbyen,SJ,2021-04-21 15:01:35,78.2186,15.6401,23.0,68,20,5.75
121,Saint-Francois,FR,2021-04-21 15:02:56,46.4154,3.9054,60.8,51,40,11.5
122,Grand Gaube,MU,2021-04-21 15:02:56,-20.0064,57.6608,77.0,84,99,4.0
123,Ascension,US,2021-04-21 15:02:56,30.2169,-90.9001,55.4,54,1,11.5
124,Beringovskiy,RU,2021-04-21 15:02:57,63.05,179.3167,12.92,90,72,3.15
125,Changping,CN,2021-04-21 15:02:57,40.2186,116.2197,63.0,55,0,6.71
126,Tual,ID,2021-04-21 15:02:58,-5.6667,132.75,83.62,71,100,5.97
127,Souillac,MU,2021-04-21 15:02:58,-20.5167,57.5167,75.2,94,75,6.91
128,Hambantota,LK,2021-04-21 15:02:58,6.1241,81.1185,80.78,79,66,13.27
129,Nyrob,RU,2021-04-21 15:02:59,60.733,56.7202,42.4,84,40,4.52
130,Norsup,VU,2021-04-21 15:02:59,-16.0667,167.3833,80.98,81,44,7.18
131,Calama,CL,2021-04-21 15:03:00,-22.4667,-68.9333,62.6,13,0,18.41
132,Kargasok,RU,2021-04-21 15:03:00,59.0556,80.8572,19.08,85,39,5.84
133,Bud,US,2021-04-21 15:03:01,39.447,-86.1758,36.0,93,75,8.05
134,Nkhotakota,MW,2021-04-21 15:03:01,-12.9274,34.2961,74.91,74,92,12.24
135,Vila Franca Do Campo,PT,2021-04-21 15:03:01,37.7167,-25.4333,64.4,88,20,13.8
136,Laguna,US,2021-04-21 15:03:02,38.421,-121.4238,54.0,87,1,3.44
137,Lavrentiya,RU,2021-04-21 15:03:03,65.5833,-171.0,17.35,58,87,5.21
138,Devaprayag,IN,2021-04-21 15:03:03,30.15,78.6167,61.61,85,59,6.62
139,Ericeira,PT,2021-04-21 15:03:04,38.9627,-9.4156,62.01,94,75,11.5
140,Vestmanna,FO,2021-04-21 15:03:04,62.1564,-7.1664,44.6,76,75,18.41
141,Severo-Kurilsk,RU,2021-04-21 15:03:05,50.6789,156.125,35.22,91,100,17.22
142,Lyskovo,RU,2021-04-21 15:03:05,56.0328,45.0422,43.29,85,100,18.61
143,Linqing,CN,2021-04-21 15:03:06,36.8456,115.7117,53.74,79,100,0.89
144,Sepolno Krajenskie,PL,2021-04-21 15:03:06,53.452,17.5317,61.0,45,96,13.22
145,Port Elizabeth,ZA,2021-04-21 15:03:06,-33.918,25.5701,68.0,88,20,8.05
146,Cidreira,BR,2021-04-21 15:03:07,-30.1811,-50.2056,71.53,70,84,18.5
147,Gravdal,NO,2021-04-21 15:03:07,68.1214,13.5031,37.4,60,40,14.97
148,Chihuahua,MX,2021-04-21 14:59:29,28.5,-106.0,57.2,26,20,4.61
