City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Odweyne,SO,9.4092,45.064,74.39,56,75,8.88,broken clouds
207,Goundam,ML,16.4145,-3.6708,83.34,12,19,5.1,few clouds
208,Isangel,VU,-19.55,169.2667,80.92,77,80,11.3,broken clouds
209,Kavieng,PG,-2.5744,150.7967,81.86,72,92,3.67,overcast clouds
210,Nome,US,64.5011,-165.4064,37.4,65,1,3.09,clear sky
211,Hambantota,LK,6.1241,81.1185,87.8,79,20,2.3,few clouds
212,Melilla,ES,35.2937,-2.9383,62.6,82,75,16.11,broken clouds
213,Samfya,ZM,-11.3649,29.5565,63.79,86,9,7.85,clear sky
214,Namibe,AO,-15.1961,12.1522,76.46,82,42,4.41,scattered clouds
215,Vardo,NO,70.3705,31.1107,34.92,68,100,17.13,overcast clouds
216,Birin,NP,26.8865,88.0718,78.19,22,7,7.65,clear sky
217,Kendari,ID,-3.945,122.4989,88.74,55,57,5.97,broken clouds
218,Mahenge,TZ,-8.6833,36.7167,64.63,86,97,2.19,overcast clouds
219,Mancio Lima,BR,-7.6142,-72.8958,71.92,98,57,2.19,broken clouds
220,Port Hardy,CA,50.6996,-127.4199,46.4,93,90,3.44,light rain
221,Tucuman,AR,-26.8241,-65.2226,64.4,94,40,5.75,scattered clouds
222,Ust-Nera,RU,64.5667,143.2,20.68,63,100,4.5,overcast clouds
223,Barrow,US,71.2906,-156.7887,26.6,80,1,5.75,clear sky
224,Faya,SA,18.3851,42.4509,69.8,28,40,4.41,scattered clouds
225,Camocim,BR,-2.9022,-40.8411,75.34,92,80,7.83,broken clouds
226,Praya,CV,14.9215,-23.5087,68.0,77,40,13.8,scattered clouds
227,Limbang,MY,4.75,115.0,86.0,79,75,8.05,broken clouds
228,Cayenne,GF,4.9333,-52.3333,79.0,94,90,6.91,heavy intensity rain
229,Santa Cruz,BO,-17.8,-63.1667,71.6,88,90,8.05,moderate rain
230,Vanimo,PG,-2.6741,141.3028,81.28,83,99,4.68,overcast clouds
231,Tucurui,BR,-3.7661,-49.6725,73.4,95,69,0.76,broken clouds
232,Ponta Do Sol,PT,32.6667,-17.1,57.99,82,25,3.0,scattered clouds
233,Londa,IN,15.4691,74.5191,86.0,42,0,6.91,clear sky
234,Tual,ID,-5.6667,132.75,83.08,77,100,17.69,overcast clouds
235,Boshan,CN,36.4833,117.8333,53.15,82,100,15.12,overcast clouds
236,Jensen Beach,US,27.2545,-80.2298,73.99,73,75,14.97,broken clouds
237,Vostok,RU,46.4856,135.8833,42.55,49,100,8.25,overcast clouds
238,Kalengwa,ZM,-13.4659,25.0027,59.52,82,73,3.96,broken clouds
239,Along,IN,28.1667,94.7667,90.25,31,3,1.5,clear sky
240,Touros,BR,-5.1989,-35.4608,77.0,94,40,3.44,scattered clouds
241,Fez,MA,34.0372,-4.9998,57.2,94,40,3.44,scattered clouds
242,Monte Patria,CL,-30.6919,-70.9467,57.92,76,0,0.85,clear sky
243,Bubaque,GW,11.2833,-15.8333,77.18,69,74,12.88,broken clouds
244,Hasaki,JP,35.7333,140.8333,72.0,55,75,13.8,broken clouds
