City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Clyde River,CA,70.4692,-68.5914,15.8,100,75,4.61,broken clouds
122,Teguise,ES,29.0605,-13.564,75.2,41,20,16.11,few clouds
123,Taree,AU,-31.9,152.4667,48.2,100,3,1.14,clear sky
124,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,73,20,10.36,few clouds
125,Vestmannaeyjar,IS,63.4427,-20.2734,44.6,87,90,20.71,drizzle
126,Santa Maria,BR,-29.6842,-53.8069,66.2,94,90,3.44,light rain
127,Chuy,UY,-33.6971,-53.4616,71.82,69,100,7.2,overcast clouds
128,Hit,IQ,33.6416,42.8251,86.99,10,72,6.96,broken clouds
129,Genhe,CN,50.7833,121.5167,31.8,54,36,2.95,scattered clouds
130,Itarema,BR,-2.9248,-39.9167,83.8,73,75,13.96,moderate rain
131,Longyearbyen,SJ,78.2186,15.6401,26.6,63,75,6.91,broken clouds
132,Pasighat,IN,28.0667,95.3333,72.3,44,56,4.63,broken clouds
133,Kasempa,ZM,-13.4584,25.8338,70.21,59,92,3.87,overcast clouds
134,Pemba,MZ,-12.974,40.5178,75.2,100,90,12.66,moderate rain
135,Jamestown,US,42.097,-79.2353,60.01,33,1,8.05,clear sky
136,Ilongero,TZ,-4.6667,34.8667,63.97,79,78,7.81,broken clouds
137,Mikhaylov,RU,54.2292,39.0186,39.0,84,100,14.34,moderate rain
138,Bethel,US,41.3712,-73.414,70.0,24,1,5.75,clear sky
139,Raudeberg,NO,61.9875,5.1352,37.99,66,83,16.98,broken clouds
140,Guerrero Negro,MX,27.9769,-114.0611,66.4,58,26,14.41,scattered clouds
141,Polovinnoye,RU,54.7914,65.9864,44.04,46,100,14.47,overcast clouds
142,Santa Helena,BR,-2.2311,-45.3,84.06,79,98,3.36,moderate rain
143,Sao Joao Do Piaui,BR,-8.3581,-42.2467,93.18,38,74,1.54,broken clouds
144,Zolochiv,UA,49.806,24.8944,45.0,57,0,4.47,clear sky
145,Kostyantynivka,UA,48.5277,37.7069,42.1,80,92,11.03,overcast clouds
146,Tiquicheo,MX,18.8833,-100.7333,100.13,14,100,3.69,overcast clouds
147,Saldanha,ZA,-33.0117,17.9442,66.2,55,94,6.91,overcast clouds
148,Sohag,EG,26.557,31.6948,86.0,16,0,16.11,clear sky
149,North Bend,US,43.4065,-124.2243,53.01,82,90,9.22,overcast clouds
150,Marawi,PH,7.9986,124.2928,77.0,89,57,5.99,broken clouds
151,Yulara,AU,-25.2406,130.9889,55.4,54,62,5.75,broken clouds
152,Severo-Yeniseyskiy,RU,60.3725,93.0408,29.71,98,100,1.03,overcast clouds
153,Coari,BR,-4.085,-63.1414,90.05,54,73,3.29,broken clouds
154,Panama City,PA,8.9936,-79.5197,89.6,62,40,5.75,scattered clouds
155,Seminole,US,28.7086,-81.2081,88.0,54,40,17.27,scattered clouds
156,San Cristobal,VE,7.7669,-72.225,87.8,58,40,11.5,scattered clouds
157,Flinders,AU,-34.5833,150.8552,52.0,80,12,1.01,few clouds
158,Severo-Kurilsk,RU,50.6789,156.125,34.95,95,100,4.25,overcast clouds
159,Qaqortoq,GL,60.7167,-46.0333,59.0,29,75,25.32,broken clouds
160,Qui Nhon,VN,13.7667,109.2333,79.86,86,30,2.59,scattered clouds
161,Khanpur,PK,28.6453,70.6567,85.53,17,0,8.43,clear sky
162,Turka,UA,49.1541,23.0297,46.0,52,84,3.4,broken clouds
163,Sobolevo,RU,54.4299,31.8996,35.85,74,99,9.82,overcast clouds
164,Usta Muhammad,PK,28.1794,68.0445,87.91,18,0,4.34,clear sky
165,Bayan,CN,46.0833,127.4,41.81,31,0,8.37,clear sky
166,Minab,IR,27.1467,57.0801,89.6,37,0,2.3,haze
167,Margate,GB,51.3813,1.3862,48.0,71,45,4.0,scattered clouds
168,East London,ZA,-33.0153,27.9116,64.4,88,0,4.61,clear sky
169,Dagana,MR,16.5165,-15.5068,104.0,12,0,4.61,clear sky
170,Konevo,RU,62.1215,39.3192,48.33,75,96,7.78,overcast clouds
171,Mokhsogollokh,RU,61.4681,128.9203,16.41,97,67,4.18,broken clouds
172,Aykhal,RU,66.0,111.5,22.26,96,86,6.96,overcast clouds
173,Turukhansk,RU,65.8167,87.9833,32.99,99,96,5.99,light snow
174,Winslow,US,35.0242,-110.6974,69.8,17,1,9.22,clear sky
175,Castro,BR,-24.7911,-50.0119,73.76,49,7,6.06,clear sky
176,Cefalu,IT,38.0386,14.0229,59.0,78,45,1.41,scattered clouds
177,Pizarro,CO,4.9533,-77.366,83.97,71,40,6.85,scattered clouds
178,Port Alfred,ZA,-33.5906,26.891,67.75,84,53,9.86,broken clouds
179,Te Anau,NZ,-45.4167,167.7167,46.08,95,79,7.25,moderate rain
180,Bafoulabe,ML,13.8065,-10.8321,106.97,9,22,5.3,few clouds
181,Cortes,ES,41.9395,-1.4396,66.2,42,100,16.11,overcast clouds
182,Lorengau,PG,-2.0226,147.2712,80.58,77,69,3.74,broken clouds
183,Khash,IR,28.2211,61.2158,74.12,7,22,4.61,few clouds
184,Rameshki,RU,57.3439,36.0453,36.61,92,100,9.91,overcast clouds
185,Ormara,PK,25.2088,64.6357,81.05,81,0,4.32,clear sky
186,Touho,NC,-20.7833,165.2333,76.68,82,99,9.86,light rain
187,Noumea,NC,-22.2763,166.4572,78.01,100,0,4.61,clear sky
188,Moron,AR,-34.6534,-58.6198,73.0,70,26,5.01,scattered clouds
189,Nishihara,JP,26.1842,127.7558,68.0,94,75,9.22,light rain
190,Guadalupe Victoria,MX,32.2869,-115.105,81.0,56,1,5.75,clear sky
191,The Valley,AI,18.217,-63.0578,86.0,65,20,14.97,few clouds
192,Torbay,CA,47.6666,-52.7314,51.8,37,75,28.77,broken clouds
193,Aswan,EG,24.0934,32.907,90.82,9,0,16.2,clear sky
194,Rio Gallegos,AR,-51.6226,-69.2181,59.0,38,0,9.22,clear sky
195,Bacolod,PH,10.6667,122.95,78.19,87,73,7.05,broken clouds
196,Sitka,US,57.0531,-135.33,51.8,37,1,3.27,clear sky
197,Geraldton,AU,-28.7667,114.6,60.8,94,40,5.75,scattered clouds
198,Hervey Bay,AU,-25.2986,152.8535,61.0,85,0,1.01,clear sky
199,Hualmay,PE,-11.0964,-77.6139,72.45,72,17,10.18,few clouds
200,Sulina,RO,45.1559,29.6536,49.69,69,84,7.61,broken clouds
201,Kankon,IN,15.0167,74.0167,84.2,70,20,5.75,few clouds
202,Grindavik,IS,63.8424,-22.4338,46.4,87,75,25.32,moderate rain
203,Mar Del Plata,AR,-38.0023,-57.5575,66.2,63,40,12.66,scattered clouds
204,Galveston,US,29.3669,-94.9669,86.0,51,1,12.66,haze
205,Homer,US,59.6425,-151.5483,46.99,87,1,6.91,clear sky
206,Vung Tau,VN,10.346,107.0843,83.07,75,86,8.81,overcast clouds
207,Mana,GF,5.6592,-53.7767,77.72,89,100,12.08,overcast clouds
208,Pangnirtung,CA,66.1451,-65.7125,33.8,75,20,5.75,few clouds
209,Bambous Virieux,MU,-20.3428,57.7575,79.0,89,75,14.97,light rain
210,Tura,IN,25.5198,90.2201,75.6,35,76,4.09,broken clouds
211,Vila,PT,42.0304,-8.1588,66.0,60,99,3.27,overcast clouds
212,Smolyaninovo,RU,43.2956,132.4675,28.4,100,0,2.17,clear sky
213,Flin Flon,CA,54.7682,-101.865,28.4,40,40,4.61,scattered clouds
214,Casino,AU,-28.8667,153.05,54.0,94,97,3.44,overcast clouds
215,Ilulissat,GL,69.2167,-51.1,39.2,65,75,3.44,broken clouds
216,Wagar,SD,16.1525,36.2032,92.23,24,27,21.16,scattered clouds
217,Bethanien,NA,-26.502,17.1583,79.0,19,33,8.72,scattered clouds
218,Kropotkin,RU,45.4375,40.5756,47.14,71,68,7.7,broken clouds
219,Kavieng,PG,-2.5744,150.7967,80.82,79,83,6.91,moderate rain
220,Lasa,IT,46.6166,10.7002,71.6,35,0,5.75,clear sky
221,Ovsyanka,RU,55.9575,92.5519,26.6,93,0,2.24,clear sky
222,Calbuco,CL,-41.768,-73.1273,59.0,67,20,4.61,few clouds
223,Upernavik,GL,72.7868,-56.1549,34.16,85,40,5.99,scattered clouds
224,Kruisfontein,ZA,-34.0033,24.7314,60.01,92,90,1.99,overcast clouds
225,Neuquen,AR,-38.9516,-68.0591,64.4,52,0,4.61,clear sky
226,Oranjemund,NA,-28.55,16.4333,60.06,89,9,5.28,clear sky
227,Frankfort,ZA,-27.2667,28.4833,55.94,23,0,5.7,clear sky
228,Araucaria,BR,-25.5931,-49.4103,73.0,53,40,4.61,scattered clouds
229,Khatanga,RU,71.9667,102.5,32.23,97,100,17.07,light snow
230,Osoyoos,CA,49.0331,-119.4524,51.8,76,100,1.14,overcast clouds
231,Saskylakh,RU,71.9167,114.0833,32.41,92,100,12.68,overcast clouds
232,Taoudenni,ML,22.6783,-3.9836,100.22,7,0,14.0,clear sky
233,Tudela,ES,42.0617,-1.6045,66.2,42,99,16.11,overcast clouds
234,Komsomolskiy,UZ,40.4272,71.7189,64.4,36,100,4.61,overcast clouds
